year,host,nations,competitors,sports,notes
1960,"ローマ, イタリア",23,400,8,
1964,"東京, 日本",21,375,9,
1968,"テルアビブ, イスラエル",29,750,10,
1972,"ハイデルベルク, ドイツ",41,1004,10,
1976,"トロント, カナダ",32,1657,13,
1980,"アーネム, オランダ",42,1973,12,
1984,"ニューヨーク, アメリカ合衆国",45,1800,15,
1984,"ストーク・マンデヴィル, 英国",41,1100,10,
1988,"ソウル, 韓国",61,3057,16,
1992,"バルセロナ, スペイン",82,3020,20,
1992,"マドリード, スペイン",75,1600,20,Paralympic Games for Persons with mental handicap
1996,"アトランタ, アメリカ合衆国",104,3259,20,
2000,"シドニー, オーストラリア",121,3881,18,
2004,"アテネ, ギリシャ",136,3806,19,
2008,"ペキン, 中国",146,3951,20,
2012,"ロンドン, 英国",164,4302,20,
2016,"リオデジャネイロ, ブラジル",159,4342,22,
